LotDescription,Parent#,Revenue,ParentID,LotID
PMW4NV 50 32 - Navy Flame Resistant Bottoms,B00HUA5RJW,2537.42,349,461
PMW4KH 50 32 - Khaki Flame Resistant Bottoms,B00HUA5RJW,1547.41,349,460
9S01 - Navy Hospitality,B00SBHLTVS,2520.73,627,187
9S01 - Navy Hospitality,B00BQHOLDS,157.05,265,187
9S01P - Burgundy Hospitality,B00SBHLTVS,2273.89,627,189
9S01P - Burgundy Hospitality,B00BQHOLDS,400.85,265,189
9S01P - Tan Hospitality,B00SBHLTVS,678.9300000000001,627,190
9S01P - Tan Hospitality,B00BQHOLDS,135.04,265,190
9S01P - Black Hospitality,B00SBHLTVS,539.16,627,188
9S01P - Black Hospitality,B00BQHOLDS,842.9300000000001,265,188
9S01 - Hunter Green Hospitality,B00SBHLTVS,471.77,627,186
9S01 - Hunter Green Hospitality,B00BQHOLDS,33.34,265,186
PT56 - White Pants,B00O4UZ55M,2502.8700000000003,416,542
PZ20 - Black Pants,B00O4UZCTG,2465.57,417,572
PZ20 - Navy Pants,B00O4UZCTG,1999.0900000000001,417,573
5210 - White Medical,B00SBHLMUQ,2460.91,624,175
SP10 - Gm Blue/White Stripe Woven Shirts,B00O972UX0,2459.41,557,824
SP10 - White/Charcoal Stripe Woven Shirts,B00O972UX0,1990.41,557,829
SP10 - Light Blue/Navy Stripe Woven Shirts,B00O972UX0,1579.58,557,828
SP10GI - Charcoal With Blue/White Stripe Woven Shirts,B00O972UX0,1457.9699999999998,557,831
SP10 - Green/Khaki Stripe Woven Shirts,B00O972UX0,1112.36,557,825
SP10 - White/Green Stripe Woven Shirts,B00O972UX0,825.4,557,830
SP10 - Blue With Brown/white Stripe Woven Shirts,B00O972UX0,811.6400000000001,557,822
WS10 - Black Woven Shirts,B00O4VY322,2330.2900000000004,425,1128
WS10 - Light Blue Woven Shirts,B00O4VY322,1570.0900000000001,425,1132
WS10 - Navy Woven Shirts,B00O4VY322,1131.51,425,1133
WS10 - Olive Green Woven Shirts,B00O4VY322,916.6300000000001,425,1134
WS10 - Charcoal Woven Shirts,B00O4VY322,898.4200000000001,425,1129
WS10 - Silver Grey Woven Shirts,B00O4VY322,756.67,425,1135
WS10 - Khaki Woven Shirts,B00O4VY322,618.05,425,1131
WS10 - Chocolate Brown Woven Shirts,B00O4VY322,576.69,425,1130
WS10 - White Woven Shirts,B00O4VY322,54.339999999999996,425,1136
